City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortaleza,-3.7227,-38.5247,27.34,83,40,5.14,BR,1699915816
1,ixtapa,20.7,-105.2,30.68,72,18,2.68,MX,1699916014
2,cuamba,-14.8031,36.5372,21.98,85,70,0.96,MZ,1699916061
3,pelabuhanratu,-6.9875,106.5514,25.62,91,76,1.51,ID,1699916061
4,iskateley,67.6803,53.1512,-13.32,97,100,3.58,RU,1699915550
5,longyearbyen,78.2186,15.6401,-10.09,73,75,3.09,SJ,1699916063
6,muravlenko,63.7898,74.523,-15.72,95,67,1.94,RU,1699916064
7,hradyz'k,49.2346,33.1361,6.01,77,39,4.49,UA,1699916065
8,sinop,41.7711,34.8709,12.66,92,100,1.61,TR,1699916066
9,yellowknife,62.456,-114.3525,-7.71,93,100,1.03,CA,1699916067
10,farafangana,-22.8167,47.8333,22.25,91,28,2.55,MG,1699915589
11,fort st. john,56.2499,-120.8529,-6.06,93,75,1.54,CA,1699915844
12,pavilosta,56.8879,21.1859,4.95,76,96,3.02,LV,1699916070
13,adamstown,-25.066,-130.1015,22.86,86,95,8.17,PN,1699915955
14,glace bay,46.1969,-59.957,2.14,90,100,3.09,CA,1699915800
15,praia da vitoria,38.7333,-27.0667,15.98,94,75,2.47,PT,1699915531
16,lesosibirsk,58.2358,92.4828,-0.61,97,100,4.21,RU,1699916073
17,port mathurin,-19.6833,63.4167,24.96,78,0,1.19,MU,1699915489
18,crane,31.3974,-102.3501,11.91,83,100,3.92,US,1699916054
19,avarua,-21.2078,-159.775,24.03,64,75,3.6,CK,1699915498
20,santo antonio,-6.3106,-35.4789,25.06,77,69,3.6,BR,1699915559
21,lihue,21.9789,-159.3672,28.58,69,75,7.2,US,1699915973
22,bredasdorp,-34.5322,20.0403,15.15,82,4,6.68,ZA,1699915953
23,bethel,41.3712,-73.414,6.47,68,94,1.87,US,1699916080
24,mawlamyinegyunn,16.3833,95.2667,23.76,91,91,2.58,MM,1699916081
25,thompson,55.7435,-97.8558,-1.91,86,100,2.57,CA,1699916066
26,nirmali,26.3167,86.5833,19.28,62,90,1.5,IN,1699916084
27,port-aux-francais,-49.35,70.2167,7.13,96,100,17.73,TF,1699915832
28,udachny,66.4167,112.4,-6.97,92,100,3.97,RU,1699915957
29,grytviken,-54.2811,-36.5092,2.53,98,100,3.27,GS,1699915946
30,treasure island,27.7692,-82.769,24.46,78,40,7.72,US,1699915791
31,invercargill,-46.4,168.35,18.34,54,38,4.92,NZ,1699915845
32,hunstanton,52.95,0.5,11.17,84,79,2.24,GB,1699916090
33,alofi,-19.0595,-169.9187,23.94,100,100,5.66,NU,1699915513
34,papatowai,-46.5619,169.4708,16.4,47,21,4.04,NZ,1699916091
35,hawaiian paradise park,19.5933,-154.9731,27.72,76,75,3.6,US,1699915526
36,solnechnyy,50.7214,136.6319,-14.43,86,26,1.26,RU,1699916093
37,merizo village,13.2658,144.6691,29.99,83,49,8.83,GU,1699915497
38,tucurui,-3.7661,-49.6725,31.98,41,78,1.01,BR,1699916094
39,georgetown,5.4112,100.3354,25.96,92,20,1.03,MY,1699915969
40,bilibino,68.0546,166.4372,-28.45,100,100,2.08,RU,1699915948
41,blackmans bay,-43.0167,147.3167,14.29,50,73,0.89,AU,1699916097
42,waitangi,-43.9535,-176.5597,13.05,85,3,9.62,NZ,1699916097
43,ushuaia,-54.8,-68.3,4.79,70,40,14.31,AR,1699915887
44,dumbea,-22.15,166.45,26.1,97,58,5.18,NC,1699916099
45,ubari,26.5921,12.7805,18.83,48,0,3.63,LY,1699916100
46,simpang,-1.2667,104.0833,24.71,93,86,1.06,ID,1699916101
47,kyren,51.6828,102.1408,-6.14,85,100,0.45,RU,1699916101
48,edinburgh of the seven seas,-37.0676,-12.3116,13.62,79,7,11.38,SH,1699916102
49,puerto natales,-51.7236,-72.4875,3.51,71,53,5.21,CL,1699915956
50,tamandare,-8.7597,-35.1047,25.49,84,53,3.51,BR,1699916105
51,prince rupert,54.3161,-130.3201,7.83,73,100,2.57,CA,1699915360
52,la ronge,55.1001,-105.2842,2.14,75,100,4.63,CA,1699916108
53,tazovsky,67.4667,78.7,-18.83,94,7,3.9,RU,1699916109
54,ilulissat,69.2167,-51.1,-3.99,63,100,6.69,GL,1699916068
55,college,64.8569,-147.8028,-2.03,90,100,2.06,US,1699915981
56,yulinshi,38.2906,109.7494,-1.02,36,0,0.87,CN,1699916112
57,el nido,11.1858,119.3956,28.02,80,99,5.81,PH,1699915595
58,albany,42.6001,-73.9662,3.66,69,99,1,US,1699915908
59,uturoa,-16.7333,-151.4333,27.05,81,98,5.52,PF,1699915970
60,mil'kovo,55.6078,37.7956,5.23,84,93,6.47,RU,1699916096
61,saipan,15.1355,145.701,28.39,78,40,8.23,MP,1699915988
62,fernley,39.608,-119.2518,19.46,15,71,2.94,US,1699916118
63,mugia,43.1041,-9.2179,18.98,97,100,12.37,ES,1699916119
64,altai,46.3722,96.2583,-8.11,95,100,1.95,MN,1699916120
65,betio village,1.358,172.9211,28.29,78,99,7.01,KI,1699915553
66,burang,30.25,81.1667,-4.72,54,34,1.45,CN,1699916122
67,abalak,58.1286,68.5944,-0.92,95,100,4.13,RU,1699916123
68,san francisco tepeolulco,19.8337,-99.9852,17.49,60,71,2.61,MX,1699916124
69,peace river,56.2501,-117.286,-3.83,86,100,3.6,CA,1699916014
70,ancud,-41.8697,-73.8203,8.68,60,26,5.65,CL,1699916125
71,whitehorse,60.7161,-135.0538,-4.99,86,100,8.23,CA,1699916126
72,pacific grove,36.6177,-121.9166,18.69,68,0,4.92,US,1699915260
73,salamanca,40.8333,-6,11.11,89,7,2.38,ES,1699916130
74,egersund,58.4513,5.9997,6.16,69,100,12.86,NO,1699916131
75,ati,13.2154,18.3353,29.48,22,89,4.09,TD,1699916132
76,hammerfest,70.6634,23.6821,-2.75,86,20,2.06,NO,1699916133
77,yurga,55.7231,84.8861,0.78,97,100,4.81,RU,1699916135
78,luderitz,-26.6481,15.1594,16.54,73,0,2.06,NA,1699916040
79,margate,51.3813,1.3862,13.28,75,29,7.15,GB,1699916137
80,port lincoln,-34.7333,135.8667,15.35,77,100,5.03,AU,1699916029
81,puerto ayora,-0.7393,-90.3518,28.98,92,70,2.24,EC,1699916138
82,shakawe,-18.3667,21.85,28.6,22,55,0.99,BW,1699916139
83,port alfred,-33.5906,26.891,14.54,93,98,5.29,ZA,1699916140
84,ashkasham,36.6833,71.5333,-8.94,38,0,1.46,AF,1699916141
85,peterhead,57.5058,-1.7981,8.22,82,100,10.35,GB,1699916142
86,west island,-12.1568,96.8225,25.99,83,75,4.12,CC,1699915980
87,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699916145
88,kiunga,-6.1219,141.2906,27.86,69,37,0.45,PG,1699916146
89,kulhudhuffushi,6.6221,73.07,27.36,74,97,0.37,MV,1699916147
90,mount pearl,47.5166,-52.7813,0.08,80,100,2.57,CA,1699915578
91,atafu village,-8.5421,-172.5159,28.93,78,95,4.3,TK,1699915977
92,midvagur,62.0511,-7.1939,7.46,70,75,7.2,FO,1699916151
93,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,6.69,EC,1699915556
94,rey bouba,8.6724,14.1786,26.82,59,100,1.7,CM,1699916152
95,vila do maio,15.1333,-23.2167,26.44,75,40,4.82,CV,1699916153
96,kerikeri,-35.2268,173.9474,20.51,77,66,0.89,NZ,1699915960
97,olonkinbyen,70.9221,-8.7187,-2.21,69,95,2.89,SJ,1699915918
98,simav,39.0882,28.9777,9.12,86,76,2.37,TR,1699916156
99,penalva,-3.2942,-45.1736,28.57,61,45,3.53,BR,1699916147
100,port saint john's,-31.6229,29.5448,16.83,79,100,3.76,ZA,1699916051
101,sechura,-5.5569,-80.8222,23.21,66,12,8.44,PE,1699916158
102,cabo san lucas,22.8909,-109.9124,31.45,61,0,3.6,MX,1699915862
103,kilindoni,-7.9139,39.6668,26.6,83,3,2.48,TZ,1699916141
104,dryden,49.7833,-92.7503,2.16,75,20,2.06,CA,1699916160
105,mimizan,44.2006,-1.2289,18.48,93,99,1.26,FR,1699916161
106,carnarvon,-24.8667,113.6333,20.9,70,54,3.55,AU,1699916162
107,bentiu,9.2333,29.8333,26.24,67,57,2.01,SS,1699916163
108,keflavik,64.0049,-22.5624,6.95,61,75,7.72,IS,1699916164
109,vorgashor,67.5833,63.95,-16.88,93,96,2.99,RU,1699916031
110,danjiangkou,32.5428,111.5086,5.74,68,1,1.45,CN,1699916166
111,pundong,-7.9522,110.3486,25.98,88,86,2.73,ID,1699916167
112,pangody,65.85,74.4859,-18.81,100,26,2.58,RU,1699915578
113,sao vicente,-23.9631,-46.3919,37.1,26,14,0.89,BR,1699916168
114,sinabang,2.4803,96.3801,24.69,91,100,2.5,ID,1699916169
115,palikir - national government center,6.9248,158.1611,29.41,70,100,1.54,FM,1699916170
116,luganville,-15.5333,167.1667,25.91,76,98,5.9,VU,1699916171
117,port elizabeth,-33.918,25.5701,17.16,78,75,5.14,ZA,1699915954
